hhid,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
1201-001-01,3043.0752936076997,278.5350546929178,1.5157243273778904,1.2104026778677544,22.122238978371293,1.0997191697918958,417.4217425847434,22.198304308077525,19.49553556033993,16.611004327570317
1209-001-01,2117.856980454759,288.87064587712047,1.4362683967927898,0.8671519202170328,13.838668674045513,1.4598765157128129,405.6340251683179,3.4914494822892883,19.815130725248636,10.288951870476799
1210-001-01,2518.4265917631947,300.2607175094001,1.4446462333368988,1.3222345504133977,17.606518708504073,1.3314025912814331,320.2582364633352,20.947580801714537,17.087837264973782,15.185607361203768
1212-001-01,1300.0211867601251,129.9751262836569,0.7616094913075736,0.506483058321444,8.185555400548626,0.7216441453775222,145.1208992196302,4.349126614450159,10.383624202875874,6.176457808375702
1215-001-01,968.3346204065335,108.44799863717691,0.5111060305494343,0.21858087132565188,4.23683746798259,0.19282064849648395,117.1252848081518,0.10667298497493503,4.756912940020588,1.8805251817361865
1217-001-01,321.2979540562937,132.16045559804274,0.10854810939247742,0.3367632099499026,2.3338508640956905,0.17604608768995722,46.75850002935428,1.4158748465803168,5.261831821927847,2.2711363622052194
1229-001-01,2661.0431947561274,432.3090820255648,1.5273969329647046,1.4300836481565964,18.567249971562735,1.109171758283155,248.51378521276027,12.268046958450164,18.178020219470245,13.245791415509983
1230-001-01,852.6426077919504,1.911271946657728,0.29487678432849185,0.01282072975341269,0.5285106627108203,0.10939905019138955,34.75852917579892,0,1.325674416469027,0.4627705275926246
1232-001-04,2938.8446369956546,311.3530347402965,1.5427220477063637,1.081024999410772,19.971224044823067,2.628307951453097,471.63062555414376,31.62486584714983,21.83059611228137,16.900052774086
1233-001-01,3082.8979210875277,482.76407596069697,2.1897147083635566,1.6242306465067449,21.125728216189238,2.1244507871479583,624.2610864972073,15.713294232612112,23.695621549481366,17.749916267838177
1235-001-02,2121.113732268193,94.39939621239077,1.5372963434631428,0.7550651566867311,13.491315567625016,1.5938595429912519,460.9330735612312,11.620379083672066,17.485020827397932,12.372101400308075
1236-001-01,2078.296287817447,83.64407083184305,1.1362698614719091,0.602772874832799,10.0653961280564,0.9018651600625406,373.6390975542543,0.20394355393626115,13.732105734166927,7.029439344121115
1236-001-04,3203.5827686526704,533.3976941269586,2.1016376684118456,1.4463757242123698,16.464727118879537,2.0555268121549637,828.8074827300782,1.2291125233458244,30.405493797025894,12.240098108765137
1239-001-01,2583.53488778605,401.11025869855797,1.1230770606737208,1.1940277805169168,16.014570625476512,1.140178055485422,285.6730612515088,5.3635914237181765,19.30382994087258,12.849155312078873
1239-001-02,1257.4342717612353,176.15646264757805,0.6150659256307299,0.42235689337637394,6.941781882437721,0.9407855638869594,150.02272610633725,5.328617721329653,8.046894832506673,4.85487514010982
1247-001-01,2209.0376193536144,400.994392323363,1.5077178974208432,0.8868797866010351,18.056733199293777,1.7892772501382237,472.65725653572036,11.446776072060239,22.331133561505272,12.162871946249025
